Epic,Task ID,Task,Platform/Area,Priority,Milestone,Release Blocking,Feature Applicability,Owner,Dependencies,Acceptance IDs,Security IDs,Screen IDs,Acceptance,Evidence Path
E00 Product foundation,HBR-001,Create monorepo and code ownership boundaries,All,P0,M0_CONTRACT,Yes,core,All,,ACC-075,,,"Repository boundaries, ownership and platform target definitions are checked in; executable platform shells are qualified at M2.",evidence/HBR-001/
E00 Product foundation,HBR-002,Freeze product contracts and schema versioning,Core,P0,M0_CONTRACT,Yes,core,Core,HBR-001,ACC-075,,,"Versioned schemas, transition and approval semantics, feature registry, commit protocol and negative contract fixtures are reviewed; package validation passes. No runtime execution evidence is implied.",evidence/HBR-002/
E00 Product foundation,HBR-003,Create feature flag and capability registry,Core,P0,M0_CONTRACT,Yes,core,Core,HBR-002,ACC-064;ACC-075,,,Features can be disabled by platform/device without divergent UI code.,evidence/HBR-003/
E00 Product foundation,HBR-004,Implement settings migration framework,Core,P0,M0_CONTRACT,Yes,core,Core,HBR-002,ACC-027,,,Upgrade/downgrade fixtures preserve user settings or fail safely.,evidence/HBR-004/
E00 Product foundation,HBR-005,Create reproducible dev environment and bootstrap,All,P0,M0_CONTRACT,Yes,core,All,HBR-001,ACC-075,,,One command validates Rust/Dart/native toolchains and runs smoke tests.,evidence/HBR-005/
E01 Cross-platform shell,HBR-010,Create Flutter adaptive shell,Flutter,P0,M1_LOCAL_REFERENCE,Yes,core,Flutter,HBR-001,ACC-017,,UX-001;UX-004;UX-005;UX-006;UX-007,Home/Work/Agents/Models/Skills/Knowledge/Activity/Settings render at compact/medium/expanded breakpoints.,evidence/HBR-010/
E01 Cross-platform shell,HBR-011,Implement Harbor design tokens and themes,Flutter,P0,M2_PLATFORM_BETA,Yes,core,Flutter,HBR-010,ACC-019,,UX-037;UX-042,Light/dark/RTL token snapshots pass; no hard-coded colors in product widgets.,evidence/HBR-011/
E01 Cross-platform shell,HBR-012,Implement desktop Harbor Rail and Harbor Lens,macOS/Windows,P0,M1_LOCAL_REFERENCE,Yes,core,macOS/Windows,HBR-010,ACC-017;ACC-061,,UX-008;UX-009;UX-010;UX-011,"Rail collapse, lens pin/close, keyboard focus and state restoration pass.",evidence/HBR-012/
E01 Cross-platform shell,HBR-013,Implement mobile navigation and Capture route,iOS/Android,P0,M1_LOCAL_REFERENCE,Yes,core,iOS/Android,HBR-010,ACC-017,,UX-008;UX-009;UX-010;UX-011;UX-039,Bottom navigation preserves stacks; capture handles file/photo/text share-in.,evidence/HBR-013/
E01 Cross-platform shell,HBR-014,Implement command palette and keyboard map,macOS/Windows,P1,M2_PLATFORM_BETA,No,core,macOS/Windows,HBR-012,ACC-018,,UX-038,All primary actions reachable by keyboard; conflicts tested on both OSes.,evidence/HBR-014/
E01 Cross-platform shell,HBR-015,Implement accessibility semantics and focus order,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-010,ACC-018,,UX-001;UX-037;UX-038;UX-042,"Screen reader labels, keyboard traversal, dynamic text and reduced motion pass.",evidence/HBR-015/
E02 Core runtime / FFI,HBR-020,Create Rust harbor_core crate and Dart FFI facade,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-001,ACC-024;ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,,"Async streaming, cancellation, structured errors and memory ownership soak test pass.",evidence/HBR-020/
