ID,Screen,Area,Desktop pattern,Mobile pattern,Contract,Owner,Milestone,Priority,Blocking,Task IDs,Required States,Evidence,Feature Applicability,Platforms,Required Languages,Required Themes,Recovery Routes,Conditional Task IDs
UX-001,Privacy-first onboarding,Onboarding,Full window wizard,Paged mobile flow,Explains local/hybrid/remote before permissions,Onboarding,M2_PLATFORM_BETA,P0,Yes,HBR-010;HBR-015,loading;empty;ready;offline;error,evidence/screens/UX-001/,core,All,en;ar,light;dark,UX-041,
UX-002,Device capability scan,Onboarding,Inline diagnostics panel,Card stack,RAM/storage/GPU/NPU/backends and recommended model tier,Onboarding,M2_PLATFORM_BETA,P0,Yes,HBR-041;HBR-154,loading;empty;ready;offline;error,evidence/screens/UX-002/,core,All,en;ar,light;dark,UX-041,
UX-003,Starter model choice,Onboarding,Three-column recommendation,Horizontal cards,Fast/Balanced/Quality based on Fit Score,Onboarding,M2_PLATFORM_BETA,P0,Yes,HBR-041;HBR-043,loading;empty;ready;offline;error,evidence/screens/UX-003/,core,All,en;ar,light;dark,UX-041,
UX-004,Home command center,Home,Rail + canvas + lens,Command-first home,"Recent work, active runs, quick actions",Home,M2_PLATFORM_BETA,P0,Yes,HBR-010;HBR-037,loading;empty;ready;offline;error,evidence/screens/UX-004/,core,All,en;ar,light;dark,UX-041,
UX-005,Universal composer,Home/Chat,Bottom/inline composer,Bottom anchored composer,"Attach files, select model, mode, agent profile",Home/Chat,M2_PLATFORM_BETA,P0,Yes,HBR-010;HBR-037;HBR-073,loading;empty;ready;offline;error,evidence/screens/UX-005/,core,All,en;ar,light;dark,UX-041,
UX-006,Conversation workspace,Chat,Thread center + lens,Thread + sheets,"Context chips, sources, tool calls, Model Dock",Chat,M2_PLATFORM_BETA,P0,Yes,HBR-010;HBR-031;HBR-037;HBR-086,loading;empty;ready;offline;error,evidence/screens/UX-006/,core,All,en;ar,light;dark,UX-041,
UX-007,Work hub,Work,Artifact gallery + filters,Recent/collections,"Documents, spreadsheets, slides, PDF/research",Work,M2_PLATFORM_BETA,P0,Yes,HBR-010;HBR-097,loading;empty;ready;offline;error,evidence/screens/UX-007/,core,All,en;ar,light;dark,UX-041,
UX-008,Document workspace,Work,Editor/preview + Harbor Lens,Preview + agent sheet,"Structured operations, diff, versions",Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-012;HBR-013;HBR-092;HBR-096;HBR-097,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error,evidence/screens/UX-008/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-009,Spreadsheet workspace,Work,Grid + lens + formula context,Sheet preview + actions,"Analyze/edit ranges, formulas, charts, create reports",Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-012;HBR-013;HBR-093;HBR-096;HBR-097;HBR-153,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error;formula_unverified;recalculating,evidence/screens/UX-009/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-010,Presentation workspace,Work,Slide filmstrip + canvas + lens,Slide preview + actions,"Template-driven create/edit, speaker notes",Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-012;HBR-013;HBR-094;HBR-096;HBR-097,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error,evidence/screens/UX-010/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-011,PDF/research workspace,Work,Page preview + evidence panel,Page viewer + evidence sheet,"OCR, citations, compare, extraction",Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-012;HBR-013;HBR-095,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error,evidence/screens/UX-011/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-012,Artifact diff,Work,Side-by-side/inline diff,Stacked changes,Preview deterministic edits before protected save,Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-096;HBR-151,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error,evidence/screens/UX-012/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-013,Artifact version history,Work,Timeline drawer,Version sheet,"Checksums, operation summary, restore/export",Work,M1_LOCAL_REFERENCE,P0,Yes,HBR-097,loading;empty;ready;offline;proposal;compatibility_warning;approval_pending;saving;saved;conflict;revoked;error,evidence/screens/UX-013/,core,All,en;ar,light;dark,UX-017;UX-043;UX-044;UX-047;UX-041,
UX-014,Agents gallery,Agents,Cards + filters,Card list,"Built-in and custom agents, capability badges",Agents,M2_PLATFORM_BETA,P0,Yes,HBR-066,loading;empty;ready;offline;error,evidence/screens/UX-014/,core,All,en;ar,light;dark,UX-041,
UX-015,Agent builder,Agents,Step/profile builder,Guided form,"Name, instructions, tools, knowledge, model policy, approvals",Agents,M1_LOCAL_REFERENCE,P0,Yes,HBR-067,loading;empty;ready;offline;error,evidence/screens/UX-015/,core,All,en;ar,light;dark,UX-041,
