ID,Area,Requirement,Platforms,Gate,Milestone,Priority,Blocking,Feature Applicability,Owner,Implementing Tasks,Security IDs,Screen IDs,Evidence Required
ACC-001,Offline,"Core chat, model load, files and Office read/analysis work with network disabled",All,Release blocker,M3_GA_CORE,P0,Yes,core,Offline,HBR-031;HBR-073;HBR-098;HBR-125,SEC-011,UX-004;UX-006;UX-007,evidence/gates/ACC-001/report.json
ACC-002,Privacy,"In strict Local Only, no user/workspace content egress occurs; explicit acquisition traffic is separately authorized/logged and blocked attempts are visible.",All,Release blocker,M3_GA_CORE,P0,Yes,core,Privacy,HBR-100;HBR-125;HBR-150,SEC-030;SEC-035,UX-031;UX-032;UX-046,evidence/gates/ACC-002/report.json
ACC-003,Inference,"At least one GGUF model streams, cancels and unloads reliably on every supported platform",All,Release blocker,M3_GA_CORE,P0,Yes,core,Inference,HBR-030;HBR-031;HBR-132,SEC-019,UX-006;UX-023,evidence/gates/ACC-003/report.json
ACC-004,Routing,System-provider absence never breaks universal GGUF path,All,Release blocker,M3_GA_CORE,P0,Yes,core,Routing,HBR-032;HBR-037;HBR-157,SEC-011,UX-045,evidence/gates/ACC-004/report.json
ACC-005,Models,Device Fit Score blocks models predicted to exceed configured memory safety envelope,All,Release blocker,M3_GA_CORE,P0,Yes,core,Models,HBR-041;HBR-154,SEC-029,UX-018;UX-021,evidence/gates/ACC-005/report.json
ACC-006,Models,HF download resumes after app/process interruption without corrupt install,All,Release blocker,M1_LOCAL_REFERENCE,P0,Yes,feature:hf_public,Models,HBR-046;HBR-048;HBR-157,SEC-045,UX-022,evidence/gates/ACC-006/report.json
ACC-007,Models,"No arbitrary repo code is executed during search, download, import or inference",All,Security blocker,M3_GA_CORE,P0,Yes,core,Models,HBR-043;HBR-049;HBR-157,SEC-021,UX-020;UX-024,evidence/gates/ACC-007/report.json
ACC-008,Models,"Core secret handling and content-free logs prevent credential disclosure, including synthetic tokens while optional Hub authentication is disabled.",All,Security blocker,M3_GA_CORE,P0,Yes,core,Models,HBR-121,SEC-009;SEC-018,UX-020;UX-032,evidence/gates/ACC-008/report.json
ACC-009,Agents,Protected effects cannot run without a valid approval receipt,All,Security blocker,M3_GA_CORE,P0,Yes,core,Agents,HBR-022;HBR-063;HBR-149,SEC-007;SEC-008,UX-017;UX-043,evidence/gates/ACC-009/report.json
ACC-010,Agents,Cancelled/resumed run does not repeat a previously committed protected effect,All,Release blocker,M3_GA_CORE,P0,Yes,core,Agents,HBR-064;HBR-149,SEC-031;SEC-032,UX-016;UX-041;UX-043,evidence/gates/ACC-010/report.json
ACC-011,Artifacts,No-op DOCX/XLSX/PPTX round trip preserves unsupported package parts byte-for-byte where designated preserve-only,All,Release blocker,M3_GA_CORE,P0,Yes,core,Artifacts,HBR-091;HBR-092;HBR-093;HBR-094;HBR-133;HBR-153,SEC-042,UX-008;UX-009;UX-010,evidence/gates/ACC-011/report.json
ACC-012,Artifacts,Generated Office files open without repair prompt in Microsoft Office and LibreOffice desktop test set,macOS;Windows,Release blocker,M3_GA_CORE,P0,Yes,core,Artifacts,HBR-092;HBR-093;HBR-094;HBR-133;HBR-153,SEC-042,UX-008;UX-009;UX-010,evidence/gates/ACC-012/report.json
ACC-013,Artifacts,Artifact diff identifies text/cell/formula/slide changes before protected save,All,Release blocker,M3_GA_CORE,P0,Yes,core,Artifacts,HBR-096;HBR-151,SEC-033,UX-012;UX-017;UX-047,evidence/gates/ACC-013/report.json
ACC-014,RAG,RAG answers carry versioned source handles and cited spans must support the claim; insufficient evidence causes abstention.,All,Quality gate,M3_GA_CORE,P0,Yes,feature:rag,RAG,HBR-083;HBR-084;HBR-085;HBR-155,SEC-006;SEC-047,UX-011;UX-028;UX-029,evidence/gates/ACC-014/report.json
ACC-015,Security,"Malicious ZIP/XML/GGUF corpus cannot path traverse, allocate beyond limits or execute code",All,Security blocker,M3_GA_CORE,P0,Yes,core,Security,HBR-049;HBR-091;HBR-123,SEC-001;SEC-002;SEC-003;SEC-021;SEC-004,UX-024;UX-041,evidence/gates/ACC-015/report.json
ACC-016,UX,Local/Hybrid/Remote state visible whenever a generation/run is active,All,Release blocker,M3_GA_CORE,P0,Yes,core,UX,HBR-037;HBR-150;HBR-160,SEC-011,UX-006;UX-016;UX-032;UX-046,evidence/gates/ACC-016/report.json
ACC-017,UX,"Primary flows work at compact, medium and expanded breakpoints",All,Release blocker,M3_GA_CORE,P0,Yes,core,UX,HBR-010;HBR-012;HBR-013;HBR-160,,UX-004;UX-007;UX-008;UX-009;UX-010,evidence/gates/ACC-017/report.json
ACC-018,A11y,Primary flows usable with VoiceOver/TalkBack/Narrator and keyboard on desktop,All,Release blocker,M3_GA_CORE,P0,Yes,core,A11y,HBR-014;HBR-015;HBR-135;HBR-158,,UX-004;UX-006;UX-007;UX-037,evidence/gates/ACC-018/report.json
ACC-019,Localization,EN and AR have no clipped critical controls; RTL mirrors structural layout correctly,All,Release blocker,M3_GA_CORE,P0,Yes,core,Localization,HBR-011;HBR-131;HBR-158;HBR-159,,UX-037;UX-042,evidence/gates/ACC-019/report.json
ACC-020,Persistence,Crash during run/download/artifact write recovers to deterministic state,All,Release blocker,M3_GA_CORE,P0,Yes,core,Persistence,HBR-046;HBR-064;HBR-148;HBR-151,SEC-031;SEC-043;SEC-046,UX-022;UX-041;UX-047,evidence/gates/ACC-020/report.json
ACC-021,Storage,Deleting a model frees its owned weights/cache only and cannot delete user documents,All,Release blocker,M3_GA_CORE,P0,Yes,core,Storage,HBR-048;HBR-122;HBR-152,SEC-038;SEC-024,UX-023;UX-036,evidence/gates/ACC-021/report.json
ACC-022,Sync,"When sync is enabled, server-side test observer cannot decrypt workspace content",All,Security blocker,M4_OPTIONAL_SERVICES,P0,Yes,feature:sync,Sync,HBR-104;HBR-156,SEC-016;SEC-039;SEC-040,UX-035,evidence/gates/ACC-022/report.json
